cliente_id,data_acionamento,canal,contato_efetivo,promessa_pagamento
2867,2025-12-31 21:49:12.868395,Telefone,0,0
4279,2025-12-13 21:49:12.868433,Telefone,1,0
2547,2026-01-24 21:49:12.868347,Telefone,1,1
2118,2026-01-02 21:49:12.868392,Telefone,1,1
1800,2026-01-13 21:49:12.868371,Telefone,1,0
8315,2026-02-13 21:49:12.867671,WhatsApp,0,0
392,2026-02-26 21:49:12.867622,WhatsApp,0,0
3299,2026-02-20 21:49:12.867645,WhatsApp,0,0
4554,2026-02-27 21:49:12.867618,WhatsApp,0,0
3144,2026-01-01 21:49:12.868393,Telefone,0,0
2560,2025-12-18 21:49:12.868422,WhatsApp,1,0
6073,2026-02-19 21:49:12.867653,Telefone,1,1
1096,2026-01-13 21:49:12.868371,WhatsApp,0,0
5895,2026-02-03 21:49:12.867694,Telefone,0,0
4142,2025-12-03 21:49:12.868445,Telefone,1,1
4689,2026-01-28 21:49:12.868341,Telefone,0,0
8965,2026-01-06 21:49:12.868386,Telefone,0,0
4578,2025-12-28 21:49:12.868398,Telefone,0,0
5529,2026-02-25 21:49:12.867628,Telefone,1,1
1199,2026-01-29 21:49:12.868339,Telefone,0,0
9643,2026-01-15 21:49:12.868366,Telefone,1,1
4751,2026-02-07 21:49:12.867684,Telefone,1,1
7872,2026-01-28 21:49:12.868341,Telefone,1,0
5791,2025-12-21 21:49:12.868415,Telefone,0,0
3039,2026-02-15 21:49:12.867665,Telefone,1,1
6831,2025-12-13 21:49:12.868433,Telefone,0,0
9356,2026-02-15 21:49:12.867665,Telefone,1,1
8256,2025-12-09 21:49:12.868438,Telefone,1,1
50,2026-02-17 21:49:12.867660,WhatsApp,1,1
6180,2026-01-03 21:49:12.868391,Telefone,0,0
1675,2025-12-31 21:49:12.868395,WhatsApp,1,0
8697,2025-12-03 21:49:12.868445,Telefone,0,0
1592,2025-12-27 21:49:12.868402,Telefone,1,1
4345,2026-02-12 21:49:12.867673,WhatsApp,1,1
734,2026-01-01 21:49:12.868393,Telefone,1,0
5957,2025-12-27 21:49:12.868402,WhatsApp,1,0
2853,2026-02-05 21:49:12.867689,Telefone,1,0
468,2025-12-04 21:49:12.868444,Telefone,0,0
2809,2026-01-13 21:49:12.868371,Telefone,1,1
8702,2026-02-12 21:49:12.867673,WhatsApp,0,0
7562,2026-01-13 21:49:12.868371,WhatsApp,1,1
5560,2025-12-12 21:49:12.868434,WhatsApp,1,1
2774,2026-02-01 21:49:12.867714,Telefone,0,0
2858,2025-12-17 21:49:12.868424,WhatsApp,1,1
3230,2026-01-05 21:49:12.868388,Telefone,0,0
3166,2025-12-08 21:49:12.868439,Telefone,1,0
5910,2026-01-26 21:49:12.868344,Telefone,0,0
1510,2026-01-22 21:49:12.868350,Telefone,1,0
3511,2026-02-03 21:49:12.867694,Telefone,1,1
166,2026-01-16 21:49:12.868364,WhatsApp,1,1
3527,2025-12-20 21:49:12.868417,Telefone,0,0
9594,2025-12-11 21:49:12.868435,WhatsApp,0,0
4004,2025-12-05 21:49:12.868443,WhatsApp,0,0
5515,2026-01-30 21:49:12.868337,Telefone,1,0
1415,2025-12-06 21:49:12.868441,Telefone,0,0
9568,2026-01-04 21:49:12.868389,Telefone,0,0
3154,2025-12-17 21:49:12.868424,Telefone,1,1
6690,2026-02-05 21:49:12.867689,WhatsApp,0,0
8255,2025-12-23 21:49:12.868410,Telefone,0,0
2750,2025-12-24 21:49:12.868408,Telefone,0,0
3975,2025-12-06 21:49:12.868441,Telefone,0,0
3858,2026-01-12 21:49:12.868373,Telefone,1,1
9735,2025-12-14 21:49:12.868431,Telefone,1,0
4404,2026-01-30 21:49:12.868337,WhatsApp,1,1
7673,2026-01-04 21:49:12.868389,Telefone,0,0
1829,2025-12-29 21:49:12.868397,Telefone,1,0
8290,2025-12-16 21:49:12.868426,WhatsApp,1,0
9518,2026-02-03 21:49:12.867694,WhatsApp,0,0
8039,2025-12-21 21:49:12.868415,WhatsApp,1,0
3456,2025-12-13 21:49:12.868433,Telefone,0,0
7504,2026-01-23 21:49:12.868348,WhatsApp,1,0
2638,2025-12-13 21:49:12.868433,Telefone,1,0
2025,2026-01-17 21:49:12.868362,Telefone,1,1
5152,2026-02-18 21:49:12.867658,Telefone,1,1
2982,2026-02-11 21:49:12.867675,Telefone,1,0
8871,2026-01-04 21:49:12.868389,WhatsApp,1,0
1306,2026-02-12 21:49:12.867673,WhatsApp,0,0
3102,2025-12-18 21:49:12.868422,WhatsApp,1,1
9982,2025-12-13 21:49:12.868433,WhatsApp,0,0
7015,2026-02-22 21:49:12.867636,WhatsApp,0,0
6840,2025-12-16 21:49:12.868426,Telefone,0,0
5685,2026-02-12 21:49:12.867673,Telefone,1,0
3975,2026-01-07 21:49:12.868385,WhatsApp,1,0
7116,2026-01-23 21:49:12.868348,WhatsApp,0,0
2967,2026-02-14 21:49:12.867668,Telefone,1,1
5044,2025-12-31 21:49:12.868395,WhatsApp,1,1
3221,2026-01-02 21:49:12.868392,WhatsApp,1,0
1100,2026-01-20 21:49:12.868355,WhatsApp,1,0
5078,2026-03-01 21:49:12.867589,Telefone,1,1
3653,2026-01-12 21:49:12.868373,Telefone,0,0
4645,2025-12-26 21:49:12.868403,WhatsApp,0,0
9863,2026-02-11 21:49:12.867675,WhatsApp,1,0
6205,2026-03-02 21:49:12.866965,Telefone,1,0
3203,2026-02-26 21:49:12.867622,WhatsApp,1,0
8705,2026-01-23 21:49:12.868348,Telefone,1,1
9276,2025-12-06 21:49:12.868441,Telefone,1,0
4998,2026-02-13 21:49:12.867671,WhatsApp,1,0
6524,2025-12-25 21:49:12.868406,Telefone,1,0
1863,2025-12-03 21:49:12.868445,Telefone,1,0
6491,2026-02-09 21:49:12.867679,Telefone,0,0
7610,2026-02-01 21:49:12.867714,WhatsApp,1,1
9992,2025-12-03 21:49:12.868445,WhatsApp,0,0
3959,2026-03-02 21:49:12.866965,Telefone,0,0
4009,2025-12-23 21:49:12.868410,Telefone,0,0
1977,2025-12-12 21:49:12.868434,Telefone,1,0
9351,2026-01-11 21:49:12.868375,Telefone,0,0
6471,2025-12-25 21:49:12.868406,Telefone,1,0
9650,2025-12-19 21:49:12.868419,Telefone,1,1
654,2026-01-01 21:49:12.868393,Telefone,0,0
5494,2026-01-14 21:49:12.868369,Telefone,1,0
6287,2026-01-09 21:49:12.868380,WhatsApp,1,0
3794,2026-01-28 21:49:12.868341,Telefone,1,0
6538,2025-12-07 21:49:12.868440,WhatsApp,0,0
8675,2025-12-07 21:49:12.868440,WhatsApp,0,0
7131,2026-02-24 21:49:12.867630,Telefone,1,0
1661,2026-01-23 21:49:12.868348,Telefone,1,0
951,2026-01-25 21:49:12.868345,WhatsApp,1,0
8604,2025-12-30 21:49:12.868396,WhatsApp,1,0
354,2026-01-07 21:49:12.868385,Telefone,0,0
2480,2026-02-16 21:49:12.867663,WhatsApp,1,1
4099,2025-12-10 21:49:12.868437,Telefone,0,0
7100,2025-12-19 21:49:12.868419,Telefone,0,0
4081,2025-12-31 21:49:12.868395,Telefone,1,0
4227,2025-12-25 21:49:12.868406,WhatsApp,1,1
1099,2026-01-12 21:49:12.868373,Telefone,0,0
1348,2026-01-21 21:49:12.868352,Telefone,1,0
1974,2026-01-01 21:49:12.868393,WhatsApp,1,1
1024,2026-02-06 21:49:12.867687,Telefone,0,0
4256,2026-02-03 21:49:12.867694,WhatsApp,0,0
6161,2025-12-11 21:49:12.868435,WhatsApp,1,0
9611,2026-01-27 21:49:12.868343,Telefone,1,1
4452,2025-12-10 21:49:12.868437,WhatsApp,0,0
1056,2026-01-09 21:49:12.868380,WhatsApp,0,0
2531,2025-12-09 21:49:12.868438,WhatsApp,1,0
1648,2026-01-23 21:49:12.868348,Telefone,0,0
2821,2026-01-03 21:49:12.868391,Telefone,1,1
9049,2025-12-28 21:49:12.868398,Telefone,0,0
7826,2026-03-02 21:49:12.866965,WhatsApp,0,0
7683,2026-01-17 21:49:12.868362,WhatsApp,1,1
4892,2026-02-12 21:49:12.867673,Telefone,1,0
3010,2026-01-14 21:49:12.868369,Telefone,1,0
802,2026-01-13 21:49:12.868371,Telefone,1,0
342,2025-12-20 21:49:12.868417,WhatsApp,0,0
4502,2026-02-17 21:49:12.867660,Telefone,0,0
9589,2025-12-26 21:49:12.868403,Telefone,1,1
1310,2026-02-01 21:49:12.867714,Telefone,0,0
6704,2025-12-28 21:49:12.868398,WhatsApp,0,0
577,2025-12-24 21:49:12.868408,WhatsApp,1,0
4317,2025-12-06 21:49:12.868441,Telefone,1,0
4029,2026-02-25 21:49:12.867628,WhatsApp,1,0
2195,2025-12-09 21:49:12.868438,Telefone,0,0
4051,2026-01-16 21:49:12.868364,WhatsApp,0,0
9396,2026-01-20 21:49:12.868355,Telefone,0,0
5630,2025-12-21 21:49:12.868415,Telefone,1,0
5417,2026-01-01 21:49:12.868393,Telefone,0,0
8683,2026-01-31 21:49:12.868333,Telefone,0,0
6497,2025-12-14 21:49:12.868431,WhatsApp,0,0
5107,2026-02-05 21:49:12.867689,Telefone,0,0
4966,2026-01-04 21:49:12.868389,Telefone,1,0
2482,2026-01-29 21:49:12.868339,Telefone,0,0
740,2026-01-10 21:49:12.868378,Telefone,0,0
510,2026-01-30 21:49:12.868337,WhatsApp,0,0
594,2026-01-08 21:49:12.868383,Telefone,1,0
8947,2026-03-02 21:49:12.866965,Telefone,0,0
9655,2026-02-26 21:49:12.867622,WhatsApp,1,0
5294,2026-02-09 21:49:12.867679,WhatsApp,0,0
3003,2026-02-26 21:49:12.867622,Telefone,0,0
8007,2026-02-23 21:49:12.867633,Telefone,1,0
105,2025-12-23 21:49:12.868410,Telefone,0,0
9785,2025-12-30 21:49:12.868396,Telefone,1,0
4884,2026-02-21 21:49:12.867640,Telefone,0,0
3823,2025-12-31 21:49:12.868395,Telefone,1,0
7755,2026-01-22 21:49:12.868350,Telefone,0,0
5414,2026-01-15 21:49:12.868366,Telefone,1,0
2843,2025-12-13 21:49:12.868433,Telefone,0,0
393,2026-01-06 21:49:12.868386,WhatsApp,1,0
6566,2026-02-03 21:49:12.867694,WhatsApp,0,0
4977,2026-01-06 21:49:12.868386,Telefone,1,1
4314,2026-03-02 21:49:12.866965,WhatsApp,0,0
2201,2026-01-10 21:49:12.868378,Telefone,0,0
8882,2025-12-11 21:49:12.868435,WhatsApp,0,0
6091,2025-12-31 21:49:12.868395,Telefone,1,0
1661,2026-01-20 21:49:12.868355,Telefone,1,0
3963,2026-01-15 21:49:12.868366,WhatsApp,1,0
7522,2026-01-25 21:49:12.868345,WhatsApp,0,0
6394,2026-02-20 21:49:12.867645,Telefone,0,0
9595,2025-12-26 21:49:12.868403,WhatsApp,0,0
5038,2026-02-02 21:49:12.867696,WhatsApp,1,0
6884,2026-02-27 21:49:12.867618,Telefone,1,0
7313,2026-02-20 21:49:12.867645,Telefone,1,0
8026,2026-02-01 21:49:12.867714,Telefone,1,1
3253,2025-12-14 21:49:12.868431,WhatsApp,0,0
3331,2025-12-14 21:49:12.868431,Telefone,1,1
6628,2026-01-04 21:49:12.868389,Telefone,1,0
6978,2026-01-30 21:49:12.868337,Telefone,1,0
7380,2026-02-02 21:49:12.867696,Telefone,0,0
3826,2026-01-19 21:49:12.868357,Telefone,1,0
8743,2025-12-08 21:49:12.868439,Telefone,0,0
1945,2026-01-23 21:49:12.868348,Telefone,1,0
5470,2026-02-20 21:49:12.867645,Telefone,0,0
8495,2026-02-04 21:49:12.867692,Telefone,1,1
8610,2026-02-07 21:49:12.867684,WhatsApp,0,0
2116,2026-01-25 21:49:12.868345,Telefone,1,0
2105,2025-12-28 21:49:12.868398,WhatsApp,0,0
5590,2026-01-30 21:49:12.868337,Telefone,1,1
2647,2026-01-09 21:49:12.868380,WhatsApp,1,1
830,2026-03-02 21:49:12.866965,Telefone,1,0
3111,2026-01-06 21:49:12.868386,Telefone,0,0
5368,2026-01-28 21:49:12.868341,Telefone,1,0
1138,2025-12-11 21:49:12.868435,Telefone,0,0
9932,2026-02-02 21:49:12.867696,Telefone,0,0
5046,2026-02-25 21:49:12.867628,WhatsApp,1,0
5243,2026-01-05 21:49:12.868388,Telefone,0,0
2643,2026-02-17 21:49:12.867660,Telefone,1,0
6357,2025-12-18 21:49:12.868422,WhatsApp,0,0
787,2025-12-24 21:49:12.868408,Telefone,1,0
2550,2025-12-31 21:49:12.868395,Telefone,1,0
3247,2025-12-07 21:49:12.868440,Telefone,0,0
5395,2026-01-11 21:49:12.868375,WhatsApp,0,0
5356,2026-02-18 21:49:12.867658,WhatsApp,1,0
5666,2025-12-17 21:49:12.868424,WhatsApp,1,0
5773,2026-02-27 21:49:12.867618,Telefone,0,0
3609,2026-01-24 21:49:12.868347,Telefone,1,0
5217,2026-02-27 21:49:12.867618,WhatsApp,1,0
2069,2026-02-01 21:49:12.867714,WhatsApp,1,1
2338,2026-01-08 21:49:12.868383,Telefone,0,0
1817,2025-12-28 21:49:12.868398,Telefone,1,1
5202,2026-01-01 21:49:12.868393,Telefone,0,0
1803,2026-01-13 21:49:12.868371,WhatsApp,0,0
1811,2026-01-31 21:49:12.868333,Telefone,0,0
6050,2026-01-20 21:49:12.868355,Telefone,1,0
1922,2026-01-12 21:49:12.868373,WhatsApp,0,0
6430,2026-02-08 21:49:12.867682,Telefone,1,0
4717,2025-12-15 21:49:12.868430,Telefone,1,1
728,2025-12-12 21:49:12.868434,Telefone,0,0
8413,2026-01-02 21:49:12.868392,Telefone,0,0
4878,2026-01-30 21:49:12.868337,Telefone,1,0
8050,2026-01-06 21:49:12.868386,Telefone,0,0
4173,2026-01-06 21:49:12.868386,WhatsApp,0,0
7895,2025-12-06 21:49:12.868441,Telefone,1,1
2653,2026-01-28 21:49:12.868341,WhatsApp,1,0
9559,2026-01-21 21:49:12.868352,Telefone,0,0
8524,2026-01-23 21:49:12.868348,Telefone,0,0
7462,2025-12-07 21:49:12.868440,Telefone,0,0
7263,2026-01-20 21:49:12.868355,Telefone,1,1
1405,2025-12-27 21:49:12.868402,Telefone,0,0
9150,2026-02-11 21:49:12.867675,WhatsApp,1,0
3512,2026-02-17 21:49:12.867660,WhatsApp,0,0
5210,2026-01-24 21:49:12.868347,WhatsApp,1,0
529,2026-01-25 21:49:12.868345,Telefone,0,0
9060,2026-01-25 21:49:12.868345,Telefone,1,0
1937,2026-02-19 21:49:12.867653,Telefone,0,0
741,2026-01-06 21:49:12.868386,WhatsApp,0,0
9499,2026-02-23 21:49:12.867633,Telefone,1,0
3417,2026-02-10 21:49:12.867677,WhatsApp,0,0
1758,2026-01-23 21:49:12.868348,WhatsApp,0,0
1257,2026-01-14 21:49:12.868369,Telefone,1,0
1376,2026-02-13 21:49:12.867671,Telefone,1,1
8908,2025-12-30 21:49:12.868396,Telefone,0,0
8625,2025-12-10 21:49:12.868437,WhatsApp,0,0
8449,2025-12-19 21:49:12.868419,WhatsApp,0,0
6541,2026-02-22 21:49:12.867636,Telefone,1,1
8117,2025-12-06 21:49:12.868441,Telefone,1,0
2837,2026-02-01 21:49:12.867714,Telefone,0,0
2305,2025-12-07 21:49:12.868440,Telefone,1,1
7117,2026-01-03 21:49:12.868391,WhatsApp,0,0
6973,2026-01-07 21:49:12.868385,Telefone,1,0
3843,2025-12-23 21:49:12.868410,WhatsApp,0,0
7581,2026-01-12 21:49:12.868373,Telefone,1,0
4784,2026-01-01 21:49:12.868393,Telefone,1,1
9662,2026-01-27 21:49:12.868343,Telefone,0,0
1049,2026-02-17 21:49:12.867660,Telefone,0,0
9153,2025-12-24 21:49:12.868408,Telefone,1,1
5916,2026-01-16 21:49:12.868364,WhatsApp,1,1
7284,2025-12-11 21:49:12.868435,Telefone,0,0
7774,2026-01-27 21:49:12.868343,Telefone,1,1
9364,2025-12-22 21:49:12.868413,Telefone,0,0
2985,2026-01-20 21:49:12.868355,WhatsApp,0,0
8928,2026-01-09 21:49:12.868380,WhatsApp,1,0
8117,2026-02-12 21:49:12.867673,Telefone,0,0
8825,2026-01-17 21:49:12.868362,WhatsApp,1,1
8479,2026-01-08 21:49:12.868383,WhatsApp,1,0
1349,2025-12-29 21:49:12.868397,Telefone,1,1
6344,2025-12-18 21:49:12.868422,Telefone,0,0
6095,2026-01-21 21:49:12.868352,Telefone,0,0
5933,2026-02-14 21:49:12.867668,Telefone,0,0
179,2026-02-20 21:49:12.867645,Telefone,1,0
1912,2026-02-28 21:49:12.867612,Telefone,0,0
1500,2026-02-21 21:49:12.867640,WhatsApp,1,1
4513,2026-02-07 21:49:12.867684,Telefone,1,1
2676,2026-01-06 21:49:12.868386,Telefone,1,0
2171,2026-02-05 21:49:12.867689,Telefone,1,1
2333,2025-12-24 21:49:12.868408,Telefone,1,0
3990,2026-02-07 21:49:12.867684,WhatsApp,0,0
2755,2026-01-18 21:49:12.868359,Telefone,0,0
2051,2026-02-05 21:49:12.867689,WhatsApp,0,0
8454,2025-12-22 21:49:12.868413,Telefone,1,0
9687,2025-12-17 21:49:12.868424,WhatsApp,1,0
332,2026-01-05 21:49:12.868388,Telefone,0,0
4357,2026-01-26 21:49:12.868344,Telefone,1,1
2820,2026-02-14 21:49:12.867668,Telefone,0,0
4543,2025-12-13 21:49:12.868433,Telefone,0,0
4869,2026-02-13 21:49:12.867671,WhatsApp,1,0
8125,2025-12-27 21:49:12.868402,Telefone,0,0
6623,2026-02-21 21:49:12.867640,Telefone,0,0
6584,2026-01-01 21:49:12.868393,Telefone,1,0
7078,2026-01-23 21:49:12.868348,WhatsApp,1,0
6423,2026-02-17 21:49:12.867660,Telefone,1,0
1159,2026-01-15 21:49:12.868366,Telefone,1,1
294,2026-02-21 21:49:12.867640,Telefone,1,0
6349,2026-01-07 21:49:12.868385,WhatsApp,0,0
5817,2026-02-07 21:49:12.867684,Telefone,1,1
8485,2026-01-22 21:49:12.868350,Telefone,0,0
1162,2025-12-30 21:49:12.868396,WhatsApp,0,0
8603,2026-01-28 21:49:12.868341,Telefone,1,1
509,2026-01-13 21:49:12.868371,Telefone,1,0
5177,2025-12-30 21:49:12.868396,Telefone,0,0
4880,2026-02-22 21:49:12.867636,Telefone,1,0
1394,2026-01-15 21:49:12.868366,Telefone,1,0
5532,2026-01-17 21:49:12.868362,Telefone,0,0
707,2026-01-26 21:49:12.868344,Telefone,0,0
1299,2026-02-22 21:49:12.867636,Telefone,1,1
7614,2026-02-20 21:49:12.867645,Telefone,1,0
3859,2025-12-08 21:49:12.868439,WhatsApp,0,0
3108,2025-12-16 21:49:12.868426,Telefone,1,0
4720,2026-02-07 21:49:12.867684,Telefone,0,0
741,2026-03-02 21:49:12.866965,Telefone,0,0
3900,2026-01-01 21:49:12.868393,Telefone,0,0
5606,2025-12-08 21:49:12.868439,WhatsApp,0,0
1435,2025-12-24 21:49:12.868408,WhatsApp,0,0
5543,2026-02-10 21:49:12.867677,Telefone,0,0
1322,2026-02-27 21:49:12.867618,WhatsApp,0,0
7210,2026-01-04 21:49:12.868389,Telefone,1,0
9203,2025-12-21 21:49:12.868415,WhatsApp,0,0
176,2026-02-24 21:49:12.867630,Telefone,0,0
7071,2026-03-02 21:49:12.866965,Telefone,0,0
9513,2025-12-24 21:49:12.868408,Telefone,1,1
2472,2025-12-16 21:49:12.868426,WhatsApp,1,1
1440,2025-12-29 21:49:12.868397,Telefone,1,1
5939,2025-12-03 21:49:12.868445,Telefone,1,1
5148,2025-12-17 21:49:12.868424,Telefone,1,0
209,2026-02-23 21:49:12.867633,WhatsApp,0,0
248,2026-01-02 21:49:12.868392,WhatsApp,1,0
2895,2026-01-28 21:49:12.868341,Telefone,1,1
790,2025-12-07 21:49:12.868440,WhatsApp,1,0
4081,2026-02-22 21:49:12.867636,Telefone,0,0
1747,2025-12-20 21:49:12.868417,Telefone,1,0
2562,2026-01-17 21:49:12.868362,Telefone,0,0
1118,2025-12-11 21:49:12.868435,WhatsApp,0,0
9049,2026-02-14 21:49:12.867668,WhatsApp,1,0
2970,2026-02-24 21:49:12.867630,Telefone,1,0
2855,2026-01-11 21:49:12.868375,Telefone,1,1
9233,2026-02-15 21:49:12.867665,Telefone,0,0
5787,2026-01-05 21:49:12.868388,Telefone,0,0
6321,2026-02-06 21:49:12.867687,WhatsApp,1,0
3203,2026-02-09 21:49:12.867679,WhatsApp,1,0
298,2026-01-07 21:49:12.868385,Telefone,1,1
9190,2026-01-28 21:49:12.868341,Telefone,0,0
2664,2026-02-16 21:49:12.867663,WhatsApp,1,0
2316,2026-02-15 21:49:12.867665,WhatsApp,0,0
4596,2026-02-15 21:49:12.867665,Telefone,1,0
7960,2026-01-24 21:49:12.868347,Telefone,1,0
7708,2025-12-07 21:49:12.868440,Telefone,1,1
3559,2026-01-30 21:49:12.868337,Telefone,0,0
9106,2026-01-19 21:49:12.868357,WhatsApp,1,0
3429,2025-12-05 21:49:12.868443,WhatsApp,1,1
4742,2026-01-12 21:49:12.868373,WhatsApp,1,0
1005,2025-12-06 21:49:12.868441,Telefone,1,0
9502,2026-01-05 21:49:12.868388,Telefone,1,1
2594,2026-01-24 21:49:12.868347,Telefone,0,0
2771,2026-02-08 21:49:12.867682,WhatsApp,1,0
5818,2025-12-04 21:49:12.868444,WhatsApp,0,0
5064,2025-12-03 21:49:12.868445,WhatsApp,1,1
3403,2026-01-26 21:49:12.868344,WhatsApp,1,1
2741,2026-01-12 21:49:12.868373,Telefone,0,0
9114,2026-02-18 21:49:12.867658,Telefone,0,0
9913,2026-02-27 21:49:12.867618,Telefone,1,0
8095,2026-01-26 21:49:12.868344,WhatsApp,0,0
6171,2025-12-30 21:49:12.868396,WhatsApp,0,0
3184,2025-12-09 21:49:12.868438,WhatsApp,1,0
9708,2025-12-14 21:49:12.868431,WhatsApp,0,0
7985,2026-01-08 21:49:12.868383,Telefone,0,0
7305,2025-12-14 21:49:12.868431,Telefone,0,0
4743,2025-12-16 21:49:12.868426,Telefone,1,0
3853,2026-01-02 21:49:12.868392,WhatsApp,1,1
6666,2026-02-17 21:49:12.867660,WhatsApp,0,0
9326,2026-01-02 21:49:12.868392,Telefone,0,0
1503,2026-01-02 21:49:12.868392,Telefone,1,0
1637,2026-02-09 21:49:12.867679,Telefone,0,0
1810,2025-12-28 21:49:12.868398,WhatsApp,0,0
8459,2025-12-28 21:49:12.868398,WhatsApp,1,1
4874,2026-01-31 21:49:12.868333,Telefone,0,0
668,2025-12-28 21:49:12.868398,WhatsApp,0,0
7381,2025-12-05 21:49:12.868443,Telefone,1,0
7477,2026-02-09 21:49:12.867679,WhatsApp,1,0
8246,2025-12-06 21:49:12.868441,Telefone,1,1
2822,2025-12-27 21:49:12.868402,WhatsApp,1,0
3946,2025-12-07 21:49:12.868440,Telefone,1,0
4491,2025-12-20 21:49:12.868417,WhatsApp,1,0
4608,2026-02-27 21:49:12.867618,WhatsApp,0,0
8993,2025-12-04 21:49:12.868444,WhatsApp,0,0
4421,2025-12-14 21:49:12.868431,Telefone,0,0
2027,2025-12-05 21:49:12.868443,Telefone,1,0
8366,2026-02-24 21:49:12.867630,WhatsApp,1,1
6349,2025-12-21 21:49:12.868415,Telefone,1,1
55,2026-02-04 21:49:12.867692,Telefone,0,0
5867,2026-01-17 21:49:12.868362,Telefone,1,1
8902,2026-01-01 21:49:12.868393,Telefone,0,0
7475,2026-01-23 21:49:12.868348,Telefone,0,0
7449,2026-02-26 21:49:12.867622,Telefone,0,0
9833,2025-12-11 21:49:12.868435,Telefone,0,0
1815,2025-12-14 21:49:12.868431,Telefone,0,0
9906,2025-12-03 21:49:12.868445,WhatsApp,1,1
7148,2026-01-07 21:49:12.868385,Telefone,0,0
4237,2026-03-01 21:49:12.867589,Telefone,0,0
7113,2026-02-06 21:49:12.867687,WhatsApp,1,0
4254,2025-12-04 21:49:12.868444,Telefone,1,1
105,2026-01-30 21:49:12.868337,Telefone,1,0
4385,2026-01-04 21:49:12.868389,Telefone,1,0
7862,2026-02-09 21:49:12.867679,WhatsApp,1,0
1209,2026-01-10 21:49:12.868378,Telefone,1,0
2996,2025-12-19 21:49:12.868419,Telefone,0,0
7643,2026-01-01 21:49:12.868393,Telefone,1,0
4321,2025-12-17 21:49:12.868424,WhatsApp,1,1
1907,2026-02-10 21:49:12.867677,WhatsApp,0,0
1711,2025-12-31 21:49:12.868395,Telefone,0,0
