cliente_id,produto,valor_divida,dias_atraso,faixa_atraso,score,operador
238,Crédito Pessoal,4714.14,25,0-30,763,Gustavo
239,Cartão de Crédito,3014.38,38,31-60,631,Helena
240,Crédito Pessoal,5283.08,11,0-30,802,Gustavo
241,Empréstimo Consignado,8858.47,138,90+,544,Helena
242,Empréstimo Consignado,4922.39,35,31-60,651,Eduardo
243,Empréstimo Consignado,4165.6,35,31-60,709,Helena
244,Crédito Pessoal,5141.26,2,0-30,700,Bruno
245,Crédito Pessoal,5363.1,40,31-60,689,Helena
246,Empréstimo Consignado,4845.3,34,31-60,629,Carlos
247,Crédito Pessoal,6143.11,43,31-60,514,Eduardo
248,Empréstimo Consignado,9845.13,39,31-60,702,Fernanda
249,Empréstimo Consignado,8468.4,2,0-30,648,Ana
250,Empréstimo Consignado,8047.22,33,31-60,611,Fernanda
251,Crédito Pessoal,2465.01,16,0-30,838,Fernanda
252,Crédito Pessoal,2431.47,14,0-30,814,Eduardo
253,Empréstimo Consignado,9184.13,24,0-30,890,Eduardo
254,Crédito Pessoal,3343.96,46,31-60,615,Helena
255,Crédito Pessoal,3484.47,77,61-90,493,Daniela
256,Cartão de Crédito,2723.03,51,31-60,674,Bruno
257,Empréstimo Consignado,14112.96,46,31-60,523,Daniela
258,Cartão de Crédito,2182.05,11,0-30,676,Daniela
259,Cartão de Crédito,4140.54,21,0-30,750,Bruno
260,Crédito Pessoal,4847.49,6,0-30,896,Daniela
261,Cartão de Crédito,2951.08,117,90+,456,Eduardo
262,Empréstimo Consignado,10879.15,9,0-30,797,Carlos
263,Crédito Pessoal,7065.03,27,0-30,886,Ana
264,Cartão de Crédito,2771.25,20,0-30,623,Gustavo
265,Empréstimo Consignado,7310.94,8,0-30,608,Ana
266,Cartão de Crédito,3162.45,177,90+,449,Gustavo
267,Cartão de Crédito,2839.21,42,31-60,631,Gustavo
268,Cartão de Crédito,2151.31,53,31-60,576,Daniela
269,Crédito Pessoal,7818.18,79,61-90,625,Bruno
270,Crédito Pessoal,5914.8,83,61-90,530,Eduardo
271,Empréstimo Consignado,5752.43,16,0-30,689,Daniela
272,Empréstimo Consignado,5401.52,16,0-30,716,Eduardo
273,Empréstimo Consignado,13876.75,22,0-30,709,Eduardo
274,Empréstimo Consignado,6522.15,14,0-30,870,Gustavo
275,Cartão de Crédito,3102.36,78,61-90,535,Gustavo
276,Cartão de Crédito,2801.48,80,61-90,575,Fernanda
277,Cartão de Crédito,3075.16,6,0-30,826,Gustavo
278,Cartão de Crédito,4029.45,10,0-30,843,Ana
279,Cartão de Crédito,3297.85,18,0-30,654,Carlos
280,Cartão de Crédito,3168.62,56,31-60,536,Helena
281,Empréstimo Consignado,7409.38,117,90+,431,Helena
282,Crédito Pessoal,3670.85,22,0-30,654,Carlos
283,Crédito Pessoal,9838.93,103,90+,311,Bruno
284,Crédito Pessoal,4916.33,53,31-60,646,Carlos
285,Cartão de Crédito,2414.65,50,31-60,706,Daniela
286,Crédito Pessoal,5577.59,32,31-60,684,Ana
287,Cartão de Crédito,2653.16,2,0-30,836,Ana
288,Cartão de Crédito,3774.22,75,61-90,436,Eduardo
289,Crédito Pessoal,6079.21,60,31-60,703,Daniela
290,Cartão de Crédito,1452.06,12,0-30,810,Daniela
291,Crédito Pessoal,3680.72,77,61-90,625,Eduardo
292,Crédito Pessoal,5021.42,101,90+,306,Fernanda
293,Empréstimo Consignado,11076.92,13,0-30,819,Fernanda
294,Crédito Pessoal,1959.14,46,31-60,554,Eduardo
295,Crédito Pessoal,5987.77,35,31-60,527,Ana
296,Cartão de Crédito,3085.05,30,0-30,892,Helena
297,Cartão de Crédito,3205.89,60,31-60,711,Gustavo
298,Crédito Pessoal,4839.82,28,0-30,788,Daniela
299,Cartão de Crédito,3339.39,69,61-90,474,Carlos
300,Crédito Pessoal,3369.98,50,31-60,741,Carlos
301,Crédito Pessoal,6890.98,75,61-90,513,Gustavo
302,Cartão de Crédito,2450.68,23,0-30,766,Gustavo
303,Cartão de Crédito,2534.31,29,0-30,705,Ana
304,Cartão de Crédito,2525.42,46,31-60,650,Carlos
305,Cartão de Crédito,3020.1,17,0-30,683,Carlos
306,Empréstimo Consignado,4685.58,54,31-60,711,Gustavo
307,Cartão de Crédito,3208.23,57,31-60,510,Daniela
308,Crédito Pessoal,6741.72,65,61-90,465,Helena
309,Cartão de Crédito,2258.81,7,0-30,868,Daniela
310,Crédito Pessoal,5004.94,142,90+,504,Bruno
311,Crédito Pessoal,3281.11,63,61-90,568,Daniela
312,Crédito Pessoal,2679.25,51,31-60,676,Bruno
313,Crédito Pessoal,5394.83,45,31-60,514,Helena
314,Empréstimo Consignado,8611.62,75,61-90,455,Fernanda
315,Empréstimo Consignado,6988.81,15,0-30,781,Daniela
316,Cartão de Crédito,1500.18,30,0-30,758,Eduardo
317,Crédito Pessoal,5914.11,123,90+,488,Daniela
318,Crédito Pessoal,4277.39,76,61-90,585,Bruno
319,Crédito Pessoal,3501.32,44,31-60,714,Carlos
320,Crédito Pessoal,7551.86,14,0-30,845,Daniela
321,Cartão de Crédito,1719.88,27,0-30,641,Carlos
322,Cartão de Crédito,2949.53,22,0-30,884,Carlos
323,Cartão de Crédito,1300.37,153,90+,511,Daniela
324,Crédito Pessoal,2127.57,1,0-30,899,Daniela
325,Empréstimo Consignado,9448.04,4,0-30,893,Eduardo
326,Cartão de Crédito,2231.09,170,90+,471,Fernanda
327,Cartão de Crédito,1564.92,79,61-90,580,Helena
328,Cartão de Crédito,3259.95,94,90+,414,Bruno
329,Crédito Pessoal,5742.63,35,31-60,629,Daniela
330,Crédito Pessoal,744.22,26,0-30,781,Carlos
331,Crédito Pessoal,6918.8,60,31-60,583,Carlos
332,Cartão de Crédito,1648.89,98,90+,534,Daniela
333,Crédito Pessoal,1584.21,41,31-60,738,Bruno
334,Crédito Pessoal,3358.88,5,0-30,817,Fernanda
335,Crédito Pessoal,4916.4,28,0-30,762,Carlos
336,Crédito Pessoal,5154.75,89,61-90,445,Fernanda
337,Empréstimo Consignado,3095.4,39,31-60,699,Fernanda
338,Cartão de Crédito,1369.52,9,0-30,691,Eduardo
339,Cartão de Crédito,1891.28,9,0-30,704,Carlos
340,Crédito Pessoal,3605.96,55,31-60,706,Bruno
341,Cartão de Crédito,3109.44,45,31-60,682,Ana
342,Cartão de Crédito,2169.34,86,61-90,641,Helena
343,Crédito Pessoal,6485.26,26,0-30,738,Eduardo
344,Crédito Pessoal,7191.65,44,31-60,528,Eduardo
345,Crédito Pessoal,6111.34,111,90+,496,Ana
346,Cartão de Crédito,40.71,70,61-90,590,Eduardo
347,Cartão de Crédito,2256.79,88,61-90,446,Eduardo
348,Crédito Pessoal,4667.39,12,0-30,850,Eduardo
349,Crédito Pessoal,4891.15,114,90+,549,Helena
350,Cartão de Crédito,834.26,20,0-30,862,Helena
351,Cartão de Crédito,1888.73,137,90+,416,Carlos
352,Empréstimo Consignado,3913.27,9,0-30,663,Carlos
353,Cartão de Crédito,1758.75,36,31-60,581,Daniela
354,Crédito Pessoal,4482.62,20,0-30,867,Daniela
355,Crédito Pessoal,3516.89,21,0-30,611,Carlos
356,Cartão de Crédito,1817.59,37,31-60,535,Eduardo
357,Crédito Pessoal,4604.06,4,0-30,628,Bruno
358,Cartão de Crédito,2106.23,35,31-60,638,Ana
359,Empréstimo Consignado,8599.07,15,0-30,684,Daniela
360,Cartão de Crédito,2164.12,83,61-90,473,Gustavo
361,Crédito Pessoal,1864.78,67,61-90,623,Gustavo
362,Cartão de Crédito,1675.13,13,0-30,646,Eduardo
363,Cartão de Crédito,2237.56,75,61-90,560,Gustavo
364,Cartão de Crédito,2141.62,44,31-60,580,Daniela
365,Empréstimo Consignado,3759.55,48,31-60,694,Helena
366,Crédito Pessoal,6353.16,59,31-60,620,Fernanda
367,Empréstimo Consignado,8936.67,7,0-30,642,Helena
368,Empréstimo Consignado,6197.62,14,0-30,745,Bruno
369,Crédito Pessoal,4672.62,90,61-90,473,Fernanda
370,Crédito Pessoal,2856.25,38,31-60,552,Eduardo
371,Crédito Pessoal,6706.14,167,90+,532,Gustavo
372,Crédito Pessoal,9137.86,96,90+,338,Helena
373,Crédito Pessoal,3710.83,45,31-60,606,Carlos
374,Cartão de Crédito,3479.15,17,0-30,799,Bruno
375,Crédito Pessoal,3278.42,72,61-90,561,Daniela
376,Crédito Pessoal,3936.08,121,90+,336,Gustavo
377,Empréstimo Consignado,12301.07,52,31-60,668,Helena
378,Crédito Pessoal,4760.32,13,0-30,696,Eduardo
379,Empréstimo Consignado,10060.95,161,90+,348,Helena
380,Crédito Pessoal,4461.08,93,90+,427,Fernanda
381,Crédito Pessoal,1394.53,49,31-60,509,Helena
382,Cartão de Crédito,4369.93,27,0-30,639,Eduardo
383,Cartão de Crédito,2326.58,13,0-30,752,Ana
384,Empréstimo Consignado,8468.35,99,90+,405,Gustavo
385,Cartão de Crédito,1913.98,11,0-30,640,Ana
386,Empréstimo Consignado,10340.39,73,61-90,563,Fernanda
387,Crédito Pessoal,6413.17,23,0-30,857,Ana
388,Crédito Pessoal,1885.49,22,0-30,810,Carlos
389,Cartão de Crédito,2636.88,23,0-30,801,Eduardo
390,Empréstimo Consignado,10631.3,33,31-60,676,Eduardo
391,Empréstimo Consignado,11601.31,53,31-60,694,Daniela
392,Crédito Pessoal,6292.9,32,31-60,552,Gustavo
393,Crédito Pessoal,6468.67,31,31-60,646,Helena
394,Cartão de Crédito,2067.93,107,90+,542,Gustavo
395,Crédito Pessoal,2541.92,16,0-30,881,Gustavo
396,Empréstimo Consignado,7067.38,49,31-60,553,Carlos
397,Empréstimo Consignado,4244.7,1,0-30,842,Gustavo
398,Crédito Pessoal,3521.94,166,90+,350,Gustavo
399,Cartão de Crédito,1896.82,19,0-30,713,Gustavo
400,Cartão de Crédito,1747.44,11,0-30,872,Ana
401,Crédito Pessoal,6064.57,77,61-90,601,Eduardo
402,Empréstimo Consignado,4961.82,64,61-90,519,Ana
403,Cartão de Crédito,3968.46,26,0-30,788,Bruno
404,Empréstimo Consignado,10967.45,68,61-90,445,Carlos
405,Crédito Pessoal,7378.99,51,31-60,742,Ana
406,Empréstimo Consignado,5932.53,67,61-90,454,Carlos
407,Crédito Pessoal,5400.59,30,0-30,649,Helena
408,Crédito Pessoal,2914.21,12,0-30,610,Fernanda
409,Empréstimo Consignado,8652.07,69,61-90,539,Gustavo
410,Crédito Pessoal,1464.56,68,61-90,567,Eduardo
411,Crédito Pessoal,7124.59,14,0-30,647,Bruno
412,Empréstimo Consignado,6065.31,19,0-30,655,Daniela
413,Empréstimo Consignado,8908.53,115,90+,307,Gustavo
414,Cartão de Crédito,2890.78,7,0-30,613,Bruno
415,Cartão de Crédito,2056.83,18,0-30,814,Carlos
416,Crédito Pessoal,3403.48,7,0-30,844,Bruno
417,Crédito Pessoal,4759.58,94,90+,353,Eduardo
418,Crédito Pessoal,6605.93,8,0-30,872,Carlos
419,Cartão de Crédito,2382.41,61,61-90,572,Gustavo
420,Cartão de Crédito,2982.37,87,61-90,532,Carlos
421,Cartão de Crédito,3135.27,34,31-60,630,Eduardo
422,Cartão de Crédito,2346.04,21,0-30,608,Fernanda
423,Crédito Pessoal,4774.65,59,31-60,711,Ana
424,Cartão de Crédito,2611.05,4,0-30,721,Helena
425,Crédito Pessoal,7284.81,48,31-60,613,Daniela
426,Cartão de Crédito,2225.37,10,0-30,619,Helena
427,Crédito Pessoal,7275.5,2,0-30,620,Fernanda
428,Empréstimo Consignado,8765.38,31,31-60,707,Gustavo
429,Crédito Pessoal,3526.78,17,0-30,632,Fernanda
430,Crédito Pessoal,4916.01,27,0-30,732,Helena
431,Crédito Pessoal,2758.73,70,61-90,551,Bruno
432,Cartão de Crédito,1423.19,10,0-30,790,Gustavo
433,Cartão de Crédito,2985.48,160,90+,506,Gustavo
434,Crédito Pessoal,6595.54,30,0-30,625,Fernanda
435,Crédito Pessoal,4933.95,44,31-60,607,Daniela
436,Cartão de Crédito,2538.15,9,0-30,688,Gustavo
437,Crédito Pessoal,3846.47,47,31-60,591,Helena
438,Empréstimo Consignado,8509.64,11,0-30,632,Gustavo
439,Cartão de Crédito,4085.18,48,31-60,737,Daniela
440,Crédito Pessoal,7019.39,27,0-30,617,Fernanda
441,Crédito Pessoal,4847.89,66,61-90,417,Eduardo
442,Empréstimo Consignado,7510.43,93,90+,465,Ana
443,Crédito Pessoal,4247.22,10,0-30,888,Daniela
444,Crédito Pessoal,2177.87,144,90+,326,Carlos
445,Empréstimo Consignado,6551.26,24,0-30,707,Fernanda
446,Empréstimo Consignado,10022.7,45,31-60,704,Gustavo
447,Empréstimo Consignado,5203.95,71,61-90,579,Ana
448,Cartão de Crédito,2275.95,51,31-60,725,Eduardo
449,Crédito Pessoal,2763.64,169,90+,367,Fernanda
450,Crédito Pessoal,6570.89,27,0-30,618,Daniela
451,Cartão de Crédito,1481.41,29,0-30,822,Fernanda
452,Cartão de Crédito,2974.14,31,31-60,524,Eduardo
453,Crédito Pessoal,7057.28,13,0-30,703,Bruno
454,Empréstimo Consignado,7029.87,21,0-30,888,Eduardo
455,Crédito Pessoal,3626.15,6,0-30,636,Carlos
456,Cartão de Crédito,2880.09,89,61-90,491,Eduardo
457,Crédito Pessoal,8204.85,52,31-60,623,Ana
458,Cartão de Crédito,3573.34,8,0-30,843,Bruno
459,Crédito Pessoal,4852.48,10,0-30,642,Fernanda
460,Crédito Pessoal,3233.63,3,0-30,725,Fernanda
461,Crédito Pessoal,4535.82,67,61-90,408,Carlos
