cliente_id,produto,valor_divida,dias_atraso,faixa_atraso,score,operador,total_acionamentos,taxa_contato,taxa_promessa,total_pago,qtd_pagamentos,cliente_recuperado,percentual_recuperado
55,Cartão de Crédito,2418.19,18,0-30,675,Gustavo,4.0,0.0,0.0,0.0,0.0,0,0.0
56,Empréstimo Consignado,13037.6,32,31-60,612,Ana,2.0,0.5,0.0,0.0,0.0,0,0.0
57,Crédito Pessoal,4200.39,45,31-60,505,Gustavo,0.0,0.0,0.0,0.0,0.0,0,0.0
58,Crédito Pessoal,574.13,4,0-30,830,Ana,2.0,1.0,0.5,451.5,1.0,1,0.7864072596798635
59,Crédito Pessoal,7427.54,56,31-60,690,Helena,2.0,0.0,0.0,0.0,0.0,0,0.0
60,Crédito Pessoal,6084.9,3,0-30,733,Fernanda,1.0,1.0,0.0,0.0,0.0,0,0.0
61,Crédito Pessoal,5188.09,1,0-30,851,Daniela,4.0,1.0,0.75,7344.379999999999,2.0,1,1.4156230905786136
62,Crédito Pessoal,6136.1,6,0-30,844,Ana,6.0,0.8333333333333334,0.5,8045.6,2.0,1,1.311191147471521
63,Empréstimo Consignado,8247.55,48,31-60,508,Helena,0.0,0.0,0.0,0.0,0.0,0,0.0
64,Crédito Pessoal,8286.53,58,31-60,568,Gustavo,5.0,0.6,0.4,0.0,0.0,0,0.0
65,Crédito Pessoal,6504.0,114,90+,373,Ana,1.0,0.0,0.0,0.0,0.0,0,0.0
66,Cartão de Crédito,2134.86,129,90+,410,Helena,2.0,0.5,0.5,3113.6099999999997,2.0,1,1.4584609763637895
67,Crédito Pessoal,7983.91,116,90+,499,Daniela,1.0,0.0,0.0,0.0,0.0,0,0.0
68,Empréstimo Consignado,13459.95,55,31-60,586,Bruno,4.0,0.25,0.0,0.0,0.0,0,0.0
69,Crédito Pessoal,6820.73,48,31-60,503,Fernanda,3.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0.0
70,Empréstimo Consignado,9220.79,16,0-30,636,Daniela,4.0,0.75,0.0,0.0,0.0,0,0.0
71,Cartão de Crédito,1816.72,78,61-90,470,Carlos,2.0,0.5,0.5,0.0,0.0,0,0.0
72,Crédito Pessoal,6371.32,5,0-30,861,Gustavo,6.0,1.0,0.5,0.0,0.0,0,0.0
73,Crédito Pessoal,5776.05,136,90+,536,Gustavo,3.0,0.0,0.0,0.0,0.0,0,0.0
74,Empréstimo Consignado,7919.59,10,0-30,777,Daniela,7.0,0.5714285714285714,0.14285714285714285,3948.18,1.0,1,0.4985333836726396
75,Cartão de Crédito,3059.41,15,0-30,695,Fernanda,2.0,1.0,1.0,0.0,0.0,0,0.0
76,Cartão de Crédito,2569.65,45,31-60,641,Daniela,5.0,0.4,0.2,3696.74,2.0,1,1.438616153950927
77,Cartão de Crédito,2939.03,116,90+,526,Fernanda,2.0,1.0,0.0,0.0,0.0,0,0.0
78,Crédito Pessoal,7071.66,54,31-60,510,Gustavo,2.0,0.5,0.0,0.0,0.0,0,0.0
79,Crédito Pessoal,2337.81,27,0-30,865,Bruno,4.0,0.5,0.25,1273.19,1.0,1,0.5446079878176584
80,Crédito Pessoal,2950.65,1,0-30,788,Daniela,4.0,0.5,0.0,0.0,0.0,0,0.0
81,Empréstimo Consignado,5263.33,20,0-30,808,Daniela,3.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
82,Cartão de Crédito,4052.01,56,31-60,512,Helena,2.0,0.5,0.5,2615.39,1.0,1,0.6454549717300796
83,Crédito Pessoal,6266.95,52,31-60,620,Bruno,3.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
84,Crédito Pessoal,6453.24,5,0-30,761,Gustavo,6.0,0.8333333333333334,0.0,0.0,0.0,0,0.0
85,Crédito Pessoal,7258.88,45,31-60,559,Helena,5.0,0.6,0.0,0.0,0.0,0,0.0
86,Crédito Pessoal,2906.69,29,0-30,604,Daniela,6.0,0.6666666666666666,0.3333333333333333,1237.04,1.0,1,0.4255837395800722
87,Cartão de Crédito,869.38,178,90+,539,Bruno,4.0,0.25,0.0,0.0,0.0,0,0.0
88,Cartão de Crédito,2449.71,49,31-60,701,Carlos,3.0,0.6666666666666666,0.6666666666666666,1884.44,1.0,1,0.7692502377832479
89,Empréstimo Consignado,10692.72,30,0-30,611,Bruno,4.0,0.5,0.0,0.0,0.0,0,0.0
90,Cartão de Crédito,2341.93,51,31-60,679,Ana,1.0,0.0,0.0,0.0,0.0,0,0.0
91,Crédito Pessoal,2260.12,76,61-90,540,Ana,7.0,0.42857142857142855,0.2857142857142857,1285.6,1.0,1,0.5688193547245279
92,Cartão de Crédito,1775.82,22,0-30,839,Helena,2.0,0.5,0.0,0.0,0.0,0,0.0
93,Cartão de Crédito,1556.59,138,90+,481,Fernanda,0.0,0.0,0.0,0.0,0.0,0,0.0
94,Cartão de Crédito,2010.11,23,0-30,824,Bruno,6.0,0.8333333333333334,0.3333333333333333,1442.24,1.0,1,0.7174930725184194
95,Cartão de Crédito,1572.5,26,0-30,781,Daniela,2.0,0.5,0.5,0.0,0.0,0,0.0
96,Cartão de Crédito,2617.42,46,31-60,540,Eduardo,8.0,0.625,0.25,0.0,0.0,0,0.0
97,Cartão de Crédito,2061.93,18,0-30,777,Gustavo,4.0,0.75,0.5,1252.79,1.0,1,0.6075812466960566
98,Crédito Pessoal,6266.86,26,0-30,717,Gustavo,2.0,0.5,0.5,9388.0,2.0,1,1.498038890289555
99,Crédito Pessoal,3047.04,93,90+,395,Eduardo,5.0,0.6,0.2,4772.71,2.0,1,1.5663430739340476
100,Crédito Pessoal,5510.69,29,0-30,675,Helena,5.0,0.6,0.0,0.0,0.0,0,0.0
101,Crédito Pessoal,4924.8,16,0-30,645,Helena,4.0,0.5,0.5,8520.19,2.0,1,1.7300580734243016
102,Cartão de Crédito,2816.82,51,31-60,726,Carlos,2.0,1.0,0.5,0.0,0.0,0,0.0
103,Crédito Pessoal,6073.43,36,31-60,599,Carlos,2.0,0.0,0.0,0.0,0.0,0,0.0
104,Cartão de Crédito,3014.92,4,0-30,893,Eduardo,4.0,0.75,0.25,1522.59,1.0,1,0.5050183752802727
105,Empréstimo Consignado,10492.27,130,90+,539,Eduardo,7.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0,0.0
106,Crédito Pessoal,6084.58,3,0-30,740,Bruno,2.0,1.0,0.0,0.0,0.0,0,0.0
107,Crédito Pessoal,5595.73,45,31-60,703,Eduardo,5.0,0.6,0.4,2260.61,1.0,1,0.4039883982965583
108,Cartão de Crédito,1966.62,113,90+,449,Ana,7.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0,0.0
109,Crédito Pessoal,6701.47,34,31-60,735,Carlos,6.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0,0.0
110,Crédito Pessoal,3606.23,176,90+,429,Gustavo,7.0,0.5714285714285714,0.2857142857142857,7121.2300000000005,3.0,1,1.9747021127326878
111,Crédito Pessoal,4416.17,15,0-30,868,Fernanda,3.0,0.6666666666666666,0.3333333333333333,4214.86,1.0,1,0.9544152512244772
112,Crédito Pessoal,3276.69,108,90+,356,Gustavo,5.0,0.2,0.0,0.0,0.0,0,0.0
113,Empréstimo Consignado,5352.56,38,31-60,661,Carlos,6.0,0.5,0.3333333333333333,7546.379999999999,2.0,1,1.4098636913925298
114,Empréstimo Consignado,7049.0,176,90+,446,Gustavo,4.0,0.25,0.0,0.0,0.0,0,0.0
115,Cartão de Crédito,2313.58,21,0-30,736,Ana,2.0,0.5,0.5,1101.07,1.0,1,0.47591611269115397
116,Empréstimo Consignado,5559.33,17,0-30,715,Carlos,1.0,1.0,1.0,2678.32,1.0,1,0.4817702852681888
117,Empréstimo Consignado,8065.89,15,0-30,760,Helena,4.0,0.5,0.5,0.0,0.0,0,0.0
118,Crédito Pessoal,5313.52,148,90+,454,Eduardo,4.0,0.0,0.0,0.0,0.0,0,0.0
119,Empréstimo Consignado,6365.36,15,0-30,772,Carlos,4.0,1.0,0.5,4793.38,1.0,1,0.753041461912602
120,Cartão de Crédito,4331.71,108,90+,429,Ana,3.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
121,Empréstimo Consignado,8998.09,30,0-30,678,Carlos,5.0,0.4,0.2,0.0,0.0,0,0.0
122,Empréstimo Consignado,8354.79,26,0-30,656,Fernanda,1.0,0.0,0.0,0.0,0.0,0,0.0
123,Crédito Pessoal,3648.09,176,90+,394,Fernanda,6.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
124,Crédito Pessoal,5275.68,78,61-90,456,Fernanda,8.0,0.125,0.125,4940.94,1.0,1,0.9365503593849512
125,Crédito Pessoal,5481.61,15,0-30,733,Gustavo,1.0,1.0,0.0,0.0,0.0,0,0.0
126,Crédito Pessoal,4993.05,6,0-30,613,Fernanda,6.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0,0.0
127,Empréstimo Consignado,12255.95,172,90+,326,Eduardo,5.0,0.2,0.2,0.0,0.0,0,0.0
128,Empréstimo Consignado,2895.59,7,0-30,893,Fernanda,0.0,0.0,0.0,0.0,0.0,0,0.0
129,Crédito Pessoal,4239.24,20,0-30,746,Fernanda,1.0,1.0,1.0,3777.25,1.0,1,0.8910205602891085
130,Cartão de Crédito,3071.07,40,31-60,664,Bruno,1.0,1.0,1.0,2675.38,1.0,1,0.8711556558463337
131,Crédito Pessoal,3206.67,12,0-30,726,Fernanda,4.0,1.0,0.25,0.0,0.0,0,0.0
132,Crédito Pessoal,1906.65,40,31-60,734,Eduardo,3.0,1.0,0.3333333333333333,1088.49,1.0,1,0.5708913539454016
133,Crédito Pessoal,3962.22,81,61-90,403,Helena,3.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
134,Crédito Pessoal,7087.87,122,90+,357,Fernanda,2.0,0.5,0.0,0.0,0.0,0,0.0
135,Empréstimo Consignado,5381.12,8,0-30,817,Carlos,3.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0.0
136,Crédito Pessoal,4287.15,27,0-30,832,Helena,5.0,1.0,0.6,0.0,0.0,0,0.0
137,Cartão de Crédito,2837.19,67,61-90,512,Fernanda,3.0,0.3333333333333333,0.3333333333333333,7256.68,3.0,1,2.5576996958257996
138,Cartão de Crédito,2036.56,67,61-90,567,Daniela,4.0,0.25,0.25,972.01,1.0,1,0.4772803158266882
139,Crédito Pessoal,4120.1,79,61-90,542,Carlos,3.0,1.0,0.3333333333333333,0.0,0.0,0,0.0
140,Empréstimo Consignado,6043.85,4,0-30,859,Gustavo,1.0,0.0,0.0,0.0,0.0,0,0.0
141,Empréstimo Consignado,6296.66,174,90+,517,Fernanda,2.0,1.0,0.0,0.0,0.0,0,0.0
142,Crédito Pessoal,2674.13,33,31-60,551,Fernanda,1.0,0.0,0.0,0.0,0.0,0,0.0
143,Cartão de Crédito,2294.17,79,61-90,545,Carlos,4.0,0.75,0.25,1464.62,1.0,1,0.6384095337311533
144,Crédito Pessoal,7128.47,19,0-30,698,Ana,3.0,1.0,0.3333333333333333,6607.83,1.0,1,0.9269632894576255
145,Crédito Pessoal,8165.62,16,0-30,781,Daniela,2.0,1.0,0.5,5275.32,1.0,1,0.6460403496611402
146,Crédito Pessoal,7499.63,66,61-90,568,Ana,3.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0.0
147,Cartão de Crédito,2610.16,26,0-30,832,Fernanda,6.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
148,Cartão de Crédito,3827.08,52,31-60,687,Ana,2.0,0.0,0.0,0.0,0.0,0,0.0
149,Crédito Pessoal,9605.72,44,31-60,592,Eduardo,3.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0.0
150,Crédito Pessoal,5362.56,11,0-30,716,Helena,2.0,0.0,0.0,0.0,0.0,0,0.0
151,Empréstimo Consignado,5028.31,1,0-30,603,Bruno,5.0,0.4,0.2,0.0,0.0,0,0.0
152,Crédito Pessoal,7623.87,87,61-90,484,Helena,1.0,0.0,0.0,0.0,0.0,0,0.0
153,Crédito Pessoal,2593.03,136,90+,466,Carlos,3.0,0.3333333333333333,0.3333333333333333,1809.76,1.0,1,0.6979325345252465
154,Cartão de Crédito,1790.79,83,61-90,406,Helena,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0.0
155,Empréstimo Consignado,1752.4,109,90+,424,Daniela,5.0,0.2,0.0,0.0,0.0,0,0.0
156,Crédito Pessoal,6454.83,170,90+,450,Carlos,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0.0
157,Cartão de Crédito,647.64,45,31-60,731,Ana,1.0,0.0,0.0,0.0,0.0,0,0.0
158,Cartão de Crédito,3294.28,104,90+,384,Helena,4.0,0.0,0.0,0.0,0.0,0,0.0
159,Crédito Pessoal,8618.88,54,31-60,562,Gustavo,7.0,0.7142857142857143,0.14285714285714285,7398.92,1.0,1,0.8584549268582462
160,Cartão de Crédito,3882.22,39,31-60,692,Bruno,1.0,0.0,0.0,0.0,0.0,0,0.0
161,Crédito Pessoal,2468.36,37,31-60,622,Ana,5.0,0.4,0.4,3560.1400000000003,2.0,1,1.442309873762336
162,Cartão de Crédito,1009.04,80,61-90,568,Carlos,4.0,0.25,0.0,0.0,0.0,0,0.0
163,Cartão de Crédito,1986.01,7,0-30,688,Eduardo,6.0,0.5,0.16666666666666666,0.0,0.0,0,0.0
164,Cartão de Crédito,3203.35,29,0-30,694,Carlos,5.0,0.2,0.2,6779.71,3.0,1,2.116443722977508
165,Crédito Pessoal,7407.58,22,0-30,899,Helena,0.0,0.0,0.0,0.0,0.0,0,0.0
166,Empréstimo Consignado,9993.5,9,0-30,644,Ana,4.0,0.25,0.25,5055.33,1.0,1,0.5058618101766148
167,Crédito Pessoal,6056.01,17,0-30,852,Daniela,5.0,0.8,0.2,6436.59,2.0,1,1.062843357259978
168,Crédito Pessoal,9722.01,23,0-30,650,Gustavo,6.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
169,Crédito Pessoal,4043.91,2,0-30,664,Daniela,2.0,0.5,0.0,0.0,0.0,0,0.0
170,Cartão de Crédito,1877.62,3,0-30,653,Daniela,4.0,0.75,0.25,0.0,0.0,0,0.0
171,Cartão de Crédito,1548.7,74,61-90,583,Gustavo,4.0,0.5,0.5,1375.31,1.0,1,0.8880415832633821
172,Crédito Pessoal,5865.93,91,90+,521,Daniela,2.0,0.0,0.0,0.0,0.0,0,0.0
173,Cartão de Crédito,2356.36,38,31-60,709,Helena,2.0,0.5,0.5,4697.05,3.0,1,1.9933499125770255
174,Crédito Pessoal,6649.96,8,0-30,671,Daniela,8.0,0.5,0.125,0.0,0.0,0,0.0
175,Cartão de Crédito,2139.56,13,0-30,767,Fernanda,1.0,1.0,0.0,0.0,0.0,0,0.0
176,Crédito Pessoal,6257.56,58,31-60,685,Bruno,3.0,0.0,0.0,0.0,0.0,0,0.0
177,Cartão de Crédito,2192.92,79,61-90,542,Bruno,4.0,0.5,0.25,1072.15,1.0,1,0.4889143242799555
178,Crédito Pessoal,4674.59,23,0-30,618,Eduardo,2.0,0.5,0.0,0.0,0.0,0,0.0
179,Empréstimo Consignado,7796.03,69,61-90,409,Helena,4.0,0.5,0.0,0.0,0.0,0,0.0
180,Crédito Pessoal,1599.4,31,31-60,715,Helena,4.0,0.75,0.5,1408.09,1.0,1,0.8803863948980867
181,Crédito Pessoal,4720.03,37,31-60,515,Daniela,6.0,0.5,0.3333333333333333,0.0,0.0,0,0.0
182,Crédito Pessoal,6124.29,57,31-60,670,Ana,2.0,0.5,0.5,4923.08,1.0,1,0.8038613455600567
183,Empréstimo Consignado,5035.67,47,31-60,658,Ana,4.0,0.0,0.0,0.0,0.0,0,0.0
184,Empréstimo Consignado,13730.37,51,31-60,607,Carlos,4.0,0.5,0.0,0.0,0.0,0,0.0
185,Crédito Pessoal,5009.77,48,31-60,515,Daniela,4.0,0.75,0.25,8471.25,2.0,1,1.6909458917275642
186,Cartão de Crédito,1998.56,75,61-90,479,Gustavo,5.0,0.4,0.4,0.0,0.0,0,0.0
187,Empréstimo Consignado,6028.24,29,0-30,883,Gustavo,3.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
188,Cartão de Crédito,3596.41,71,61-90,589,Ana,2.0,0.5,0.0,0.0,0.0,0,0.0
189,Cartão de Crédito,1840.15,4,0-30,747,Fernanda,1.0,1.0,1.0,0.0,0.0,0,0.0
190,Crédito Pessoal,5596.19,20,0-30,762,Eduardo,2.0,1.0,0.5,0.0,0.0,0,0.0
191,Crédito Pessoal,6766.07,25,0-30,864,Ana,2.0,1.0,0.0,0.0,0.0,0,0.0
192,Empréstimo Consignado,9662.65,16,0-30,737,Fernanda,3.0,1.0,1.0,0.0,0.0,0,0.0
193,Empréstimo Consignado,6311.97,55,31-60,544,Fernanda,2.0,0.5,0.5,0.0,0.0,0,0.0
194,Cartão de Crédito,3171.38,2,0-30,629,Eduardo,5.0,0.6,0.2,4396.05,2.0,1,1.3861631214171748
195,Crédito Pessoal,5311.55,12,0-30,767,Daniela,2.0,0.5,0.0,0.0,0.0,0,0.0
196,Crédito Pessoal,1560.12,79,61-90,490,Carlos,1.0,1.0,0.0,0.0,0.0,0,0.0
197,Cartão de Crédito,3478.61,72,61-90,490,Helena,7.0,0.0,0.0,0.0,0.0,0,0.0
198,Empréstimo Consignado,6159.24,71,61-90,610,Carlos,5.0,0.4,0.2,0.0,0.0,0,0.0
199,Empréstimo Consignado,7473.19,41,31-60,573,Helena,6.0,0.8333333333333334,0.3333333333333333,15370.81,3.0,1,2.0567936851598847
200,Cartão de Crédito,2747.57,89,61-90,443,Bruno,3.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
201,Cartão de Crédito,2074.49,41,31-60,673,Daniela,4.0,1.0,0.5,1712.9,1.0,1,0.8256969182787096
202,Crédito Pessoal,6513.82,106,90+,433,Ana,0.0,0.0,0.0,0.0,0.0,0,0.0
203,Crédito Pessoal,2792.32,13,0-30,623,Gustavo,4.0,0.75,0.5,0.0,0.0,0,0.0
204,Empréstimo Consignado,6276.86,70,61-90,600,Carlos,3.0,0.6666666666666666,0.3333333333333333,18906.55,4.0,1,3.0121031853506373
205,Cartão de Crédito,3480.58,78,61-90,618,Helena,3.0,0.6666666666666666,0.3333333333333333,5683.6,3.0,1,1.6329462330990814
206,Crédito Pessoal,5050.55,7,0-30,606,Fernanda,6.0,0.5,0.16666666666666666,4375.19,1.0,1,0.8662799101087999
207,Crédito Pessoal,2886.37,59,31-60,505,Eduardo,4.0,0.75,0.25,0.0,0.0,0,0.0
208,Cartão de Crédito,2562.98,20,0-30,717,Fernanda,2.0,1.0,0.5,6941.3099999999995,4.0,1,2.708296592248086
209,Crédito Pessoal,5803.31,177,90+,460,Eduardo,6.0,0.16666666666666666,0.0,0.0,0.0,0,0.0
210,Crédito Pessoal,1827.96,79,61-90,484,Ana,4.0,0.25,0.25,0.0,0.0,0,0.0
211,Cartão de Crédito,3823.43,173,90+,409,Ana,4.0,0.25,0.0,0.0,0.0,0,0.0
212,Cartão de Crédito,3931.52,34,31-60,747,Daniela,3.0,1.0,0.3333333333333333,0.0,0.0,0,0.0
213,Cartão de Crédito,2596.0,42,31-60,665,Ana,8.0,0.5,0.375,2544.84,1.0,1,0.9802927580893683
214,Crédito Pessoal,4599.84,12,0-30,744,Ana,0.0,0.0,0.0,0.0,0.0,0,0.0
215,Cartão de Crédito,2518.36,24,0-30,630,Ana,4.0,0.0,0.0,0.0,0.0,0,0.0
216,Crédito Pessoal,6786.1,75,61-90,564,Gustavo,6.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0,0.0
217,Crédito Pessoal,5905.22,164,90+,438,Carlos,5.0,0.4,0.0,0.0,0.0,0,0.0
218,Cartão de Crédito,2691.38,34,31-60,719,Helena,2.0,1.0,0.0,0.0,0.0,0,0.0
219,Cartão de Crédito,3605.86,26,0-30,732,Daniela,0.0,0.0,0.0,0.0,0.0,0,0.0
220,Empréstimo Consignado,11392.82,28,0-30,663,Gustavo,3.0,0.0,0.0,0.0,0.0,0,0.0
221,Cartão de Crédito,1732.07,56,31-60,575,Gustavo,3.0,1.0,0.0,0.0,0.0,0,0.0
222,Cartão de Crédito,3209.92,15,0-30,730,Ana,3.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0.0
223,Crédito Pessoal,7303.24,31,31-60,555,Gustavo,4.0,0.25,0.0,0.0,0.0,0,0.0
224,Crédito Pessoal,5556.52,10,0-30,637,Helena,2.0,0.5,0.5,0.0,0.0,0,0.0
225,Crédito Pessoal,6198.07,45,31-60,553,Helena,9.0,0.7777777777777778,0.2222222222222222,7424.43,2.0,1,1.1978615923989242
226,Crédito Pessoal,4385.12,36,31-60,629,Ana,2.0,0.0,0.0,0.0,0.0,0,0.0
227,Empréstimo Consignado,4386.74,43,31-60,717,Fernanda,0.0,0.0,0.0,0.0,0.0,0,0.0
228,Crédito Pessoal,8774.56,18,0-30,601,Fernanda,4.0,0.5,0.25,7105.03,1.0,1,0.8097306303677906
229,Empréstimo Consignado,3981.61,16,0-30,845,Gustavo,4.0,1.0,0.25,3007.77,1.0,1,0.7554155228663781
